scenario,policy,beta,budget,median_time_to_failure,collapse_rate,cumulative_reward_mean
periodic_collapse_under_shock,periodic_full,,100.0,24.0,0.165,39.5301183238468
periodic_collapse_under_shock,periodic_partial,,100.0,61.0,0.025833333333333333,45.50423699226995
periodic_collapse_under_shock,conservative_best,0.5,100.0,15.0,0.7141666666666666,33.539405221274805
low_beta_instability,conservative_bandit,0.01,100.0,15.0,0.6975,33.76945496023807
low_beta_instability_reference,periodic_partial,,100.0,61.0,0.025833333333333333,45.50423699226995
over_conservative_stagnation,conservative_bandit,1.0,100.0,15.0,0.7316666666666667,33.356018572867505
over_conservative_stagnation_reference,periodic_partial,,100.0,61.0,0.025833333333333333,45.50423699226995
low_budget_breakdown,periodic_full,,5.0,15.0,0.8125,31.719756894006444
low_budget_breakdown,periodic_partial,,5.0,15.5,0.7866666666666666,31.968978958527693
low_budget_breakdown,conservative_best,0.5,5.0,15.0,0.8125,31.48551128214317
