policy,budget,beta,total_cost_spent,probes,partial_recal,full_recal,cumulative_reward_mean,cumulative_reward_ci95_low,cumulative_reward_ci95_high,time_to_failure_median,time_to_failure_IQR,unnecessary_recalibration_rate,mean_performance,mean_performance_ci95_low,mean_performance_ci95_high,best_conservative_for_budget,periodic_full_reward_mean,periodic_partial_reward_mean,periodic_full_ttf_median,periodic_partial_ttf_median
periodic_full,40.0,,40.0,0.0,0.0,4.0,57.138280483146424,56.24294103915112,58.03361992714173,12.0,6.5,0.14583333333333334,0.7642285060393302,0.7530367629893889,0.7754202490892715,False,,,,
periodic_partial,40.0,,40.0,0.0,10.0,0.0,64.91470120351036,64.15018151608969,65.67922089093103,39.0,42.25,0.3333333333333333,0.8614337650438796,0.8518772689511211,0.870990261136638,False,,,,
conservative_bandit,40.0,0.1,38.0,1.0,9.0,0.0,64.16437080323941,62.97621682808587,65.35252477839295,34.0,64.0,0.29629629629629634,0.8495546350404927,0.8347027103510735,0.8644065597299119,False,57.138280483146424,64.91470120351036,12.0,39.0
conservative_bandit,40.0,0.2,38.333333333333336,1.1666666666666667,9.0,0.0,64.79015278244576,63.992451820948176,65.58785374394334,31.0,47.5,0.2592592592592593,0.8577935764472387,0.8477870930950973,0.8678000597993802,True,57.138280483146424,64.91470120351036,12.0,39.0
conservative_bandit,40.0,0.3,38.166666666666664,1.0833333333333333,9.0,0.0,64.69951651181007,64.07456105991056,65.32447196370958,62.0,47.0,0.25,0.8564522897309595,0.8487958959336254,0.8641086835282937,False,57.138280483146424,64.91470120351036,12.0,39.0
conservative_bandit,40.0,0.5,38.333333333333336,1.1666666666666667,9.0,0.0,64.46808694352116,63.73724996172132,65.198923925321,26.5,59.0,0.24074074074074078,0.8537677534606809,0.8444532734784485,0.8630822334429133,False,57.138280483146424,64.91470120351036,12.0,39.0
periodic_full,60.0,,60.0,0.0,0.0,6.0,59.030324917007476,58.38391517573328,59.676734658281674,12.5,5.5,0.16666666666666666,0.8128790614625934,0.8047989396966659,0.8209591832285208,False,,,,
periodic_partial,60.0,,56.0,0.0,14.0,0.0,65.23225503120914,64.59977380224291,65.86473626017536,81.0,12.75,0.369047619047619,0.885403187890114,0.8774971725280362,0.8933092032521918,False,,,,
conservative_bandit,60.0,0.1,58.5,1.25,14.0,0.0,64.82284499859874,64.38392318299663,65.26176681420085,81.0,0.0,0.48214285714285704,0.8834105624824842,0.8778853752563078,0.8889357497086605,False,59.030324917007476,65.23225503120914,12.5,81.0
conservative_bandit,60.0,0.2,58.166666666666664,1.0833333333333333,14.0,0.0,64.5308170542748,63.713618822791865,65.34801528575775,63.0,39.5,0.3988095238095238,0.8793435465117683,0.8692615707540149,0.8894255222695217,False,59.030324917007476,65.23225503120914,12.5,81.0
conservative_bandit,60.0,0.3,58.5,1.25,14.0,0.0,64.82091835478415,64.29060710428408,65.35122960528423,81.0,58.5,0.3333333333333333,0.8833864794348019,0.8768597495949847,0.889913209274619,False,59.030324917007476,65.23225503120914,12.5,81.0
conservative_bandit,60.0,0.5,58.5,1.25,14.0,0.0,64.82574563809523,64.38094934382748,65.27054193236297,81.0,34.5,0.35714285714285715,0.8834468204761903,0.8782050076433127,0.8886886333090679,True,59.030324917007476,65.23225503120914,12.5,81.0
periodic_full,80.0,,80.0,0.0,0.0,8.0,58.23642555965611,57.66176030194972,58.811090817362505,29.0,53.5,0.17708333333333334,0.8279553194957013,0.8207720037743714,0.8351386352170312,False,,,,
periodic_partial,80.0,,80.0,0.0,20.0,0.0,63.138673887613585,62.794852509733445,63.482495265493725,81.0,73.0,0.44166666666666665,0.88923342359517,0.8849356563716683,0.8935311908186717,False,,,,
conservative_bandit,80.0,0.1,78.16666666666667,1.0833333333333333,19.0,0.0,63.35084505565123,62.95143164760363,63.75025846369883,81.0,19.25,0.49122807017543857,0.8895938965289737,0.8846501800709214,0.8945376129870259,False,58.23642555965611,63.138673887613585,29.0,81.0
conservative_bandit,80.0,0.2,78.16666666666667,1.0833333333333333,19.0,0.0,63.41467432518593,62.98964857432068,63.83970007605117,81.0,0.0,0.45175438596491224,0.8903917623981573,0.8852348774946046,0.89554864730171,True,58.23642555965611,63.138673887613585,29.0,81.0
conservative_bandit,80.0,0.3,78.16666666666667,1.0833333333333333,19.0,0.0,63.412006360698605,62.97021788189605,63.85379483950116,81.0,0.0,0.4649122807017543,0.8903584128420658,0.8847779622136336,0.8959388634704981,False,58.23642555965611,63.138673887613585,29.0,81.0
