policy,budget,beta,total_cost_spent,total_cost_spent_ci95_low,total_cost_spent_ci95_high,probes,probes_ci95_low,probes_ci95_high,partial_recal,partial_recal_ci95_low,partial_recal_ci95_high,full_recal,full_recal_ci95_low,full_recal_ci95_high,cumulative_reward_mean,cumulative_reward_ci95_low,cumulative_reward_ci95_high,time_to_failure_median,time_to_failure_IQR,time_to_failure_iqr_q1,time_to_failure_iqr_q3,unnecessary_recalibration_rate,unnecessary_recalibration_rate_ci95_low,unnecessary_recalibration_rate_ci95_high,post_switch_time_to_failure_median,collapse_rate
periodic_full,20.0,0.1,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,40.428531958819974,37.65900801254755,43.198055905092396,17.5,11.0,11.0,22.0,0.3,0.22312247502583185,0.37687752497416815,0.0,0.0
periodic_partial,20.0,0.1,20.0,20.0,20.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,124.38832952581285,121.20045179280535,127.57620725882035,14.0,11.0,10.0,21.0,0.12000000000000002,0.08924899001033276,0.15075100998966728,0.0,0.0
threshold,20.0,0.1,20.0,20.0,20.0,0.0,0.0,0.0,0.875,0.27873437772441356,1.4712656222755864,1.65,1.4114937510897654,1.8885062489102344,39.27779198838676,36.29431187033025,42.26127210644327,14.5,7.25,11.0,18.25,0.6649999999999999,0.5497798495187448,0.780220150481255,0.0,0.0
conservative_bandit,20.0,0.1,20.0,20.0,20.0,2.3,2.0758654250404285,2.524134574959571,3.85,3.7379327125202146,3.9620672874797855,0.0,0.0,0.0,117.01837798911336,112.60851797801357,121.42823800021316,14.0,11.0,10.0,21.0,0.15625,0.1156529270875371,0.1968470729124629,0.0,0.0
periodic_full,20.0,0.2,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,38.67583598397532,35.67821071749185,41.673461250458786,13.5,9.0,9.0,18.0,0.3,0.22312247502583185,0.37687752497416815,0.0,0.0
periodic_partial,20.0,0.2,20.0,20.0,20.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,124.04352679929544,121.24703433861514,126.84001925997573,11.5,9.0,7.0,16.0,0.12000000000000002,0.08924899001033276,0.15075100998966728,0.0,0.0
threshold,20.0,0.2,20.0,20.0,20.0,0.0,0.0,0.0,1.125,0.46970646624232937,1.7802935337576706,1.55,1.2878825864969319,1.8121174135030682,38.876480945142994,36.241197374550055,41.51176451573593,14.0,9.0,10.0,19.0,0.5875,0.4764952472719969,0.6985047527280032,0.0,0.0
conservative_bandit,20.0,0.2,20.0,20.0,20.0,2.5,2.228196903849638,2.771803096150362,3.75,3.6140984519248187,3.8859015480751813,0.0,0.0,0.0,115.53691562136449,110.82112545619692,120.25270578653205,11.5,9.0,7.0,16.0,0.16458333333333333,0.12141393806267674,0.2077527286039899,0.0,0.0
periodic_full,20.0,0.3,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,39.91940579715261,36.712800887799034,43.12601070650619,11.5,11.0,7.0,18.0,0.325,0.2501512636490546,0.3998487363509454,0.0,0.0
periodic_partial,20.0,0.3,20.0,20.0,20.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,125.49020569128398,122.48537180468932,128.49503957787863,15.0,9.25,9.75,19.0,0.13,0.10006050545962186,0.15993949454037815,0.0,0.0
threshold,20.0,0.3,20.0,20.0,20.0,0.0,0.0,0.0,1.375,0.6743048323638032,2.075695167636197,1.45,1.1697219329455213,1.7302780670544786,41.214077722291606,38.02701152623899,44.401143918344225,16.5,12.0,8.0,20.0,0.595,0.4972642022908384,0.6927357977091615,0.0,0.0
conservative_bandit,20.0,0.3,20.0,20.0,20.0,2.45,2.187882586496932,2.7121174135030683,3.775,3.643941293248466,3.906058706751534,0.0,0.0,0.0,116.39976042514436,111.87954963985732,120.91997121043141,15.0,9.25,9.75,19.0,0.17083333333333334,0.13076093624322893,0.21090573042343774,0.0,0.0
periodic_full,20.0,0.4,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,42.09346102417673,38.8641958957381,45.32272615261537,12.5,11.25,7.75,19.0,0.275,0.19693050433206227,0.35306949566793777,0.0,0.0
periodic_partial,20.0,0.4,20.0,20.0,20.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,125.5900436877217,122.34440470521334,128.83568267023006,11.0,8.5,5.75,14.25,0.11000000000000001,0.07877220173282491,0.14122779826717513,0.0,0.0
