policy,budget,beta,total_cost_spent,total_cost_spent_ci95_low,total_cost_spent_ci95_high,probes,probes_ci95_low,probes_ci95_high,partial_recal,partial_recal_ci95_low,partial_recal_ci95_high,full_recal,full_recal_ci95_low,full_recal_ci95_high,cumulative_reward_mean,cumulative_reward_ci95_low,cumulative_reward_ci95_high,time_to_failure_median,time_to_failure_IQR,time_to_failure_iqr_q1,time_to_failure_iqr_q3,unnecessary_recalibration_rate,unnecessary_recalibration_rate_ci95_low,unnecessary_recalibration_rate_ci95_high,post_shock_ttf_median,collapse_rate_20,recal_cost_spent_post_shock
periodic_full,10.0,0.1,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,40.966815306629854,40.216358268091646,41.71727234516806,14.0,8.25,10.0,18.25,0.656,0.6143191142455616,0.6976808857544384,0.0,0.0,0.0
periodic_partial,10.0,0.1,8.0,8.0,8.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,42.083444632695816,41.2554747294782,42.91141453591343,14.0,10.0,9.0,19.0,0.328,0.3071595571227808,0.3488404428772192,0.0,0.0,0.0
threshold,10.0,0.1,9.588,9.517029207373652,9.658970792626347,0.0,0.0,0.0,0.412,0.34102920737365244,0.4829707926263475,0.794,0.7585146036868262,0.8294853963131739,41.10581061690466,40.332966964702244,41.87865426910708,14.0,9.0,10.0,19.0,0.653,0.6123072614691727,0.6936927385308274,0.0,0.0,0.0
conservative_bandit,10.0,0.1,10.0,10.0,10.0,2.032,1.8784401796039076,2.1855598203960924,1.484,1.4072200898019538,1.5607799101980462,0.0,0.0,0.0,64.28619153552872,63.15267775894507,65.41970531211236,13.0,10.0,8.0,18.0,0.218,0.19624502445135264,0.23975497554864736,0.0,0.0,0.0
periodic_full,10.0,0.2,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,40.104608200721586,39.315748819076596,40.893467582366576,14.0,9.0,9.0,18.0,0.612,0.5692439700698161,0.6547560299301839,0.0,0.0,0.0
periodic_partial,10.0,0.2,8.0,8.0,8.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,40.477155192091985,39.690381706560856,41.26392867762311,13.0,10.0,8.0,18.0,0.306,0.28462198503490804,0.32737801496509195,0.0,0.0,0.0
threshold,10.0,0.2,9.596,9.52554482067735,9.66645517932265,0.0,0.0,0.0,0.404,0.33354482067735,0.4744551793226501,0.798,0.762772410338675,0.833227589661325,40.22377730188527,39.435074647901345,41.012479955869196,14.0,8.5,9.75,18.25,0.607,0.5653757643049823,0.6486242356950177,0.0,0.0,0.0
conservative_bandit,10.0,0.2,10.0,10.0,10.0,2.088,1.9318234116370019,2.2441765883629983,1.456,1.3779117058185009,1.534088294181499,0.0,0.0,0.0,62.66435142326281,61.47784102443708,63.85086182208853,13.0,10.0,7.0,17.0,0.208,0.18637635555234972,0.22962364444765027,0.0,0.0,0.0
periodic_full,10.0,0.3,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,40.49823693567187,39.70098913544215,41.29548473590159,14.0,8.25,10.0,18.25,0.616,0.5733261558475277,0.6586738441524723,0.0,0.0,0.0
periodic_partial,10.0,0.3,8.0,8.0,8.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,41.28787731825209,40.443689665803355,42.13206497070083,13.0,10.0,8.0,18.0,0.308,0.28666307792376383,0.32933692207623616,0.0,0.0,0.0
threshold,10.0,0.3,9.644,9.576875401018876,9.711124598981124,0.0,0.0,0.0,0.356,0.28887540101887565,0.4231245989811243,0.822,0.7884377005094378,0.8555622994905621,40.72121069964326,39.916965228890085,41.52545617039643,14.0,9.0,10.0,19.0,0.614,0.5722877265026151,0.6557122734973849,0.0,0.0,0.0
conservative_bandit,10.0,0.3,10.0,10.0,10.0,2.288,2.124013320292644,2.4519866797073555,1.356,1.2740066601463222,1.437993339853678,0.0,0.0,0.0,61.58071048321846,60.291431905232564,62.86998906120436,13.0,9.0,8.0,17.0,0.212,0.19031946609742736,0.23368053390257262,0.0,0.0,0.0
